site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,omitted_days,Symo  24.0-3 480 (1)__rated_kw,Symo  24.0-3 480 (1)__daily_energy_kwh,Symo  24.0-3 480 (1)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (1)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (2)__rated_kw,Symo Advanced 24.0-3 480 (2)__daily_energy_kwh,Symo Advanced 24.0-3 480 (2)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (2)__relative_specific_yield_vs_site_avg
Penner Farms - W 1/2 4-9-13 (site 4),2024-08-11,Normal,299.93,,,,24.0,148.49,6.187083,0.990164,24.0,151.44,6.31,1.009836
Penner Farms - W 1/2 4-9-13 (site 4),2024-08-12,Normal,309.67,,,,24.0,153.69,6.40375,0.992605,24.0,155.98,6.499167,1.007395
Penner Farms - W 1/2 4-9-13 (site 4),2024-08-13,Normal,374.08,,,,24.0,185.41,7.725417,0.991285,24.0,188.67,7.86125,1.008715
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,29,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-12,Normal,28.66,,,,24.0,14.07,0.58625,0.981856,24.0,14.59,0.607917,1.018144
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-13,Normal,278.93,,,,24.0,138.08,5.753333,0.990069,24.0,140.85,5.86875,1.009931
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-14,Normal,265.81,,,,24.0,131.07,5.46125,0.986193,24.0,134.74,5.614167,1.013807
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-15,Normal,242.56,,,,24.0,119.9,4.995833,0.988621,24.0,122.66,5.110833,1.011379
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-16,Normal,238.09,,,,24.0,176.82,7.3675,1.485321,24.0,61.27,2.552917,0.514679
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-17,Normal,152.1,,,,24.0,74.92,3.121667,0.985141,24.0,77.18,3.215833,1.014859
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-18,Normal,68.59,,,,24.0,34.5,1.4375,1.005978,24.0,34.09,1.420417,0.994022
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-19,Normal,306.13,,,,24.0,151.82,6.325833,0.991866,24.0,154.31,6.429583,1.008134
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-20,Normal,59.89,,,,24.0,30.84,1.285,1.029888,24.0,29.05,1.210417,0.970112
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-21,Normal,349.85,,,,24.0,185.98,7.749167,1.063199,24.0,163.87,6.827917,0.936801
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-22,site_missing_data,251.325,FRONIUS-f9342ead-59a2-4c58-b54c--004,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-23,Normal,304.38,,,,24.0,168.76,7.031667,1.108877,24.0,135.62,5.650833,0.891123
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-24,Normal,348.66,,,,24.0,172.69,7.195417,0.990593,24.0,175.97,7.332083,1.009407
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-25,Normal,347.11,,,,24.0,172.32,7.18,0.992884,24.0,174.79,7.282917,1.007116
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-26,Normal,243.54,,,,24.0,168.65,7.027083,1.384988,24.0,74.89,3.120417,0.615012
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-27,Normal,259.11,,,,24.0,180.13,7.505417,1.390375,24.0,78.98,3.290833,0.609625
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-28,Normal,319.03,,,,24.0,167.81,6.992083,1.052001,24.0,151.22,6.300833,0.947999
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-29,Normal,142.36,,,,24.0,71.31,2.97125,1.001826,24.0,71.05,2.960417,0.998174
Penner Farms - W 1/2 4-9-13 (site 4),2024-09-30,Normal,336.07,,,,24.0,169.83,7.07625,1.010682,24.0,166.24,6.926667,0.989318
Penner Farms - W 1/2 4-9-13 (site 4),2024-10-01,Normal,260.02,,,,24.0,129.3,5.3875,0.994539,24.0,130.72,5.446667,1.005461
Penner Farms - W 1/2 4-9-13 (site 4),2024-10-02,Normal,268.53,,,,24.0,133.3,5.554167,0.992813,24.0,135.23,5.634583,1.007187
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,199,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2025-04-20,Normal,115.26,,,,24.0,59.54,2.480833,1.033142,24.0,55.72,2.321667,0.966858
Penner Farms - W 1/2 4-9-13 (site 4),2025-04-21,Normal,141.39,,,,24.0,70.36,2.931667,0.995261,24.0,71.03,2.959583,1.004739
Penner Farms - W 1/2 4-9-13 (site 4),2025-04-22,Normal,225.98,,,,24.0,112.84,4.701667,0.998672,24.0,113.14,4.714167,1.001328
Penner Farms - W 1/2 4-9-13 (site 4),2025-04-23,Normal,313.55,,,,24.0,155.4,6.475,0.991229,24.0,158.15,6.589583,1.008771
Penner Farms - W 1/2 4-9-13 (site 4),2025-04-24,Normal,407.26,,,,24.0,202.23,8.42625,0.993125,24.0,205.03,8.542917,1.006875
Penner Farms - W 1/2 4-9-13 (site 4),2025-04-25,Normal,428.01,,,,24.0,213.53,8.897083,0.99778,24.0,214.48,8.936667,1.00222
Penner Farms - W 1/2 4-9-13 (site 4),2025-04-26,Normal,418.34,,,,24.0,208.75,8.697917,0.997992,24.0,209.59,8.732917,1.002008
Penner Farms - W 1/2 4-9-13 (site 4),2025-04-27,Normal,428.0,,,,24.0,212.66,8.860833,0.993738,24.0,215.34,8.9725,1.006262
Penner Farms - W 1/2 4-9-13 (site 4),2025-04-28,Normal,409.75,,,,24.0,203.87,8.494583,0.995095,24.0,205.88,8.578333,1.004905
Penner Farms - W 1/2 4-9-13 (site 4),2025-04-29,Normal,273.78,,,,24.0,135.61,5.650417,0.990649,24.0,138.17,5.757083,1.009351
Penner Farms - W 1/2 4-9-13 (site 4),2025-04-30,site_missing_data,409.75,FRONIUS-f9342ead-59a2-4c58-b54c--005,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-01,site_missing_data,414.045,FRONIUS-f9342ead-59a2-4c58-b54c--005,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-02,site_missing_data,418.34,FRONIUS-f9342ead-59a2-4c58-b54c--005,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-03,site_missing_data,414.045,FRONIUS-f9342ead-59a2-4c58-b54c--005,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-04,site_missing_data,409.75,FRONIUS-f9342ead-59a2-4c58-b54c--005,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-05,site_missing_data,341.765,FRONIUS-f9342ead-59a2-4c58-b54c--005,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-06,site_missing_data,273.78,FRONIUS-f9342ead-59a2-4c58-b54c--005,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-07,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-08,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-09,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-10,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-11,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-12,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-13,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-14,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-15,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-05-16,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,56,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-12,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-13,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-14,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-15,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-16,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-17,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-18,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-19,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-20,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-21,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-22,site_missing_data,322.96,FRONIUS-f9342ead-59a2-4c58-b54c--006,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-23,site_missing_data,363.495,FRONIUS-f9342ead-59a2-4c58-b54c--006,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-24,site_missing_data,399.3,FRONIUS-f9342ead-59a2-4c58-b54c--006,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-25,site_missing_data,362.175,FRONIUS-f9342ead-59a2-4c58-b54c--006,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-26,site_missing_data,325.05,FRONIUS-f9342ead-59a2-4c58-b54c--006,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-27,site_missing_data,324.005,FRONIUS-f9342ead-59a2-4c58-b54c--006,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-28,site_missing_data,322.96,FRONIUS-f9342ead-59a2-4c58-b54c--006,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-29,Normal,322.96,,,,24.0,160.06,6.669167,0.991206,24.0,162.9,6.7875,1.008794
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-30,Normal,404.03,,,,24.0,200.23,8.342917,0.991164,24.0,203.8,8.491667,1.008836
Penner Farms - W 1/2 4-9-13 (site 4),2025-07-31,Normal,399.3,,,,24.0,197.72,8.238333,0.990333,24.0,201.58,8.399167,1.009667
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-01,Normal,325.05,,,,24.0,161.48,6.728333,0.99357,24.0,163.57,6.815417,1.00643
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-02,Normal,212.09,,,,24.0,106.08,4.42,1.00033,24.0,106.01,4.417083,0.99967
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-03,Normal,210.16,,,,24.0,105.0,4.375,0.999239,24.0,105.16,4.381667,1.000761
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,4,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-08,Normal,86.16,,,,24.0,46.56,1.94,1.08078,24.0,39.6,1.65,0.91922
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-09,Normal,293.2,,,,24.0,145.54,6.064167,0.992769,24.0,147.66,6.1525,1.007231
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-10,Normal,398.82,,,,24.0,197.64,8.235,0.991124,24.0,201.18,8.3825,1.008876
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-11,site_missing_data,281.225,FRONIUS-f9342ead-59a2-4c58-b54c--007,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-12,site_missing_data,303.615,FRONIUS-f9342ead-59a2-4c58-b54c--007,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-13,site_missing_data,314.03,FRONIUS-f9342ead-59a2-4c58-b54c--007,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-14,site_missing_data,303.615,FRONIUS-f9342ead-59a2-4c58-b54c--007,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-15,site_missing_data,293.2,FRONIUS-f9342ead-59a2-4c58-b54c--007,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-16,site_missing_data,338.185,FRONIUS-f9342ead-59a2-4c58-b54c--007,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-17,site_missing_data,383.17,FRONIUS-f9342ead-59a2-4c58-b54c--007,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-18,Normal,0.04,,,,24.0,0.02,0.000833,1.0,24.0,0.02,0.000833,1.0
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,1,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-20,site_missing_data,191.605,FRONIUS-f9342ead-59a2-4c58-b54c--008,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,1,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-22,site_missing_data,128.26,FRONIUS-f9342ead-59a2-4c58-b54c--009,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-23,site_missing_data,254.19,FRONIUS-f9342ead-59a2-4c58-b54c--009,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-24,site_missing_data,312.625,FRONIUS-f9342ead-59a2-4c58-b54c--009,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-25,site_missing_data,353.28,FRONIUS-f9342ead-59a2-4c58-b54c--009,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-26,site_missing_data,353.28,FRONIUS-f9342ead-59a2-4c58-b54c--009,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-27,site_missing_data,306.48,FRONIUS-f9342ead-59a2-4c58-b54c--009,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-28,Normal,2.33,,,,24.0,1.14,0.0475,0.978541,24.0,1.19,0.049583,1.021459
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-29,Normal,254.19,,,,24.0,125.6,5.233333,0.988237,24.0,128.59,5.357917,1.011763
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-30,Normal,377.73,,,,24.0,188.22,7.8425,0.996585,24.0,189.51,7.89625,1.003415
Penner Farms - W 1/2 4-9-13 (site 4),2025-08-31,Normal,371.06,,,,24.0,183.95,7.664583,0.991484,24.0,187.11,7.79625,1.008516
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-01,Normal,353.28,,,,24.0,175.51,7.312917,0.993603,24.0,177.77,7.407083,1.006397
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-02,Normal,306.48,,,,24.0,152.01,6.33375,0.991973,24.0,154.47,6.43625,1.008027
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-03,Normal,184.32,,,,24.0,92.9,3.870833,1.00803,24.0,91.42,3.809167,0.99197
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,3,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-07,Normal,261.02,,,,24.0,129.77,5.407083,0.99433,24.0,131.25,5.46875,1.00567
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-08,Normal,140.5,,,,24.0,69.71,2.904583,0.992313,24.0,70.79,2.949583,1.007687
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-09,Normal,337.5,,,,24.0,167.84,6.993333,0.994607,24.0,169.66,7.069167,1.005393
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-10,Normal,42.84,,,,24.0,22.28,0.928333,1.040149,24.0,20.56,0.856667,0.959851
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-11,site_missing_data,300.995,FRONIUS-f9342ead-59a2-4c58-b54c--010,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2025-09-12,Normal,281.88,,,,24.0,140.63,5.859583,0.9978,24.0,141.25,5.885417,1.0022
