site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,Symo  24.0-3 480 (1) (115C8E)__rated_kw,Symo  24.0-3 480 (1) (115C8E)__daily_energy_kwh,Symo  24.0-3 480 (1) (115C8E)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (1) (115C8E)__relative_specific_yield_vs_site_avg,Symo  24.0-3 480 (2) (115C98)__rated_kw,Symo  24.0-3 480 (2) (115C98)__daily_energy_kwh,Symo  24.0-3 480 (2) (115C98)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (2) (115C98)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (3) (115CA1)__rated_kw,Symo 24.0-3 480 (3) (115CA1)__daily_energy_kwh,Symo 24.0-3 480 (3) (115CA1)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (3) (115CA1)__relative_specific_yield_vs_site_avg
Penner Farms - 32-8-13 pump (site 1),2024-02-21,Normal,439.21,,,24.0,122.58,5.1075,0.837276,24.0,155.03,6.459583,1.058924,24.0,161.6,6.733333,1.1038
Penner Farms - 32-8-13 pump (site 1),2024-02-22,Normal,441.67,,,24.0,148.08,6.17,1.005819,24.0,144.05,6.002083,0.978445,24.0,149.54,6.230833,1.015736
Penner Farms - 32-8-13 pump (site 1),2024-02-23,Normal,470.54,,,24.0,157.17,6.54875,1.002061,24.0,154.0,6.416667,0.981851,24.0,159.37,6.640417,1.016088
Penner Farms - 32-8-13 pump (site 1),,Marker - 31 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - 32-8-13 pump (site 1),2024-03-26,Normal,590.61,,,24.0,197.44,8.226667,1.002895,24.0,195.01,8.125417,0.990552,24.0,198.16,8.256667,1.006553
Penner Farms - 32-8-13 pump (site 1),2024-03-27,Normal,544.31,,,24.0,181.23,7.55125,0.998861,24.0,180.74,7.530833,0.99616,24.0,182.34,7.5975,1.004979
Penner Farms - 32-8-13 pump (site 1),2024-03-28,Normal,313.86,,,24.0,102.98,4.290833,0.984324,24.0,105.05,4.377083,1.00411,24.0,105.83,4.409583,1.011566
Penner Farms - 32-8-13 pump (site 1),2024-03-29,Normal,317.89,,,24.0,104.65,4.360417,0.987606,24.0,105.74,4.405833,0.997892,24.0,107.5,4.479167,1.014502
Penner Farms - 32-8-13 pump (site 1),2024-03-30,Normal,483.61,,,24.0,160.31,6.679583,0.994458,24.0,160.63,6.692917,0.996443,24.0,162.67,6.777917,1.009098
Penner Farms - 32-8-13 pump (site 1),2024-03-31,sustained_underperformance,458.37,FRONIUS-c3c803c9-49a6-4c83-9884--G004,Symo  24.0-3 480 (1) (115C8E),24.0,82.76,3.448333,0.541658,24.0,185.76,7.74,1.215786,24.0,189.85,7.910417,1.242555
Penner Farms - 32-8-13 pump (site 1),2024-04-01,sustained_underperformance,503.96,FRONIUS-c3c803c9-49a6-4c83-9884--G004,Symo  24.0-3 480 (1) (115C8E),24.0,111.31,4.637917,0.662612,24.0,193.46,8.060833,1.151639,24.0,199.19,8.299583,1.185749
Penner Farms - 32-8-13 pump (site 1),2024-04-02,sustained_underperformance,337.51,FRONIUS-c3c803c9-49a6-4c83-9884--G004,Symo  24.0-3 480 (1) (115C8E),24.0,82.11,3.42125,0.729845,24.0,125.46,5.2275,1.115167,24.0,129.94,5.414167,1.154988
Penner Farms - 32-8-13 pump (site 1),2024-04-03,Normal,306.35,,,24.0,102.61,4.275417,1.004831,24.0,101.19,4.21625,0.990925,24.0,102.55,4.272917,1.004244
Penner Farms - 32-8-13 pump (site 1),2024-04-04,Normal,41.57,,,24.0,13.89,0.57875,1.002406,24.0,13.69,0.570417,0.987972,24.0,13.99,0.582917,1.009622
Penner Farms - 32-8-13 pump (site 1),2024-04-05,Normal,93.66,,,24.0,31.32,1.305,1.003203,24.0,30.87,1.28625,0.988789,24.0,31.47,1.31125,1.008008
Penner Farms - 32-8-13 pump (site 1),2024-04-06,Normal,76.66,,,24.0,25.61,1.067083,1.002218,24.0,25.26,1.0525,0.988521,24.0,25.79,1.074583,1.009262
Penner Farms - 32-8-13 pump (site 1),2024-04-07,Normal,122.19,,,24.0,40.83,1.70125,1.002455,24.0,40.3,1.679167,0.989443,24.0,41.06,1.710833,1.008102
Penner Farms - 32-8-13 pump (site 1),,Marker - 25 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - 32-8-13 pump (site 1),2024-05-03,Normal,397.11,,,24.0,82.5,3.4375,0.623253,24.0,156.69,6.52875,1.183727,24.0,157.92,6.58,1.19302
Penner Farms - 32-8-13 pump (site 1),2024-05-04,Normal,468.77,,,24.0,96.79,4.032917,0.61943,24.0,184.74,7.6975,1.182286,24.0,187.24,7.801667,1.198285
Penner Farms - 32-8-13 pump (site 1),2024-05-05,Normal,276.14,,,24.0,92.44,3.851667,1.004273,24.0,91.23,3.80125,0.991128,24.0,92.47,3.852917,1.004599
Penner Farms - 32-8-13 pump (site 1),2024-05-06,Normal,378.06,,,24.0,126.08,5.253333,1.000476,24.0,125.23,5.217917,0.993731,24.0,126.75,5.28125,1.005793
Penner Farms - 32-8-13 pump (site 1),2024-05-07,Normal,49.49,,,24.0,17.7,0.7375,1.072944,24.0,17.67,0.73625,1.071125,24.0,14.12,0.588333,0.85593
Penner Farms - 32-8-13 pump (site 1),2024-05-08,multiple_inverter_issues,80.38,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,32.13,1.33875,1.199179,24.0,32.18,1.340833,1.201045,24.0,16.07,0.669583,0.599776
Penner Farms - 32-8-13 pump (site 1),2024-05-09,multiple_inverter_issues,498.81,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,199.03,8.292917,1.197029,24.0,199.22,8.300833,1.198172,24.0,100.56,4.19,0.604799
Penner Farms - 32-8-13 pump (site 1),2024-05-10,multiple_inverter_issues,480.27,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,191.28,7.97,1.194828,24.0,190.78,7.949167,1.191705,24.0,98.21,4.092083,0.613467
Penner Farms - 32-8-13 pump (site 1),2024-05-11,multiple_inverter_issues,367.05,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,85.05,3.54375,0.695137,24.0,187.5,7.8125,1.532489,24.0,94.5,3.9375,0.772374
Penner Farms - 32-8-13 pump (site 1),2024-05-12,multiple_inverter_issues,437.13,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,175.39,7.307917,1.203692,24.0,173.26,7.219167,1.189074,24.0,88.48,3.686667,0.607234
Penner Farms - 32-8-13 pump (site 1),2024-05-13,multiple_inverter_issues,333.11,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,125.4,5.225,1.129357,24.0,137.3,5.720833,1.236528,24.0,70.41,2.93375,0.634115
Penner Farms - 32-8-13 pump (site 1),2024-05-14,multiple_inverter_issues,358.94,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,137.48,5.728333,1.14905,24.0,145.92,6.08,1.219591,24.0,75.54,3.1475,0.631359
Penner Farms - 32-8-13 pump (site 1),2024-05-15,multiple_inverter_issues,407.54,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,162.89,6.787083,1.199072,24.0,162.6,6.775,1.196938,24.0,82.05,3.41875,0.60399
Penner Farms - 32-8-13 pump (site 1),2024-05-16,multiple_inverter_issues,342.42,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,126.12,5.255,1.104959,24.0,143.47,5.977917,1.256965,24.0,72.83,3.034583,0.638076
Penner Farms - 32-8-13 pump (site 1),2024-05-17,multiple_inverter_issues,168.25,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,66.77,2.782083,1.19055,24.0,66.42,2.7675,1.184309,24.0,35.06,1.460833,0.625141
Penner Farms - 32-8-13 pump (site 1),2024-05-18,multiple_inverter_issues,374.31,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,138.5,5.770833,1.110042,24.0,154.41,6.43375,1.237557,24.0,81.4,3.391667,0.6524
Penner Farms - 32-8-13 pump (site 1),2024-05-19,multiple_inverter_issues,330.72,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,131.34,5.4725,1.191401,24.0,130.9,5.454167,1.187409,24.0,68.48,2.853333,0.62119
Penner Farms - 32-8-13 pump (site 1),2024-05-20,multiple_inverter_issues,307.82,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,122.57,5.107083,1.194562,24.0,122.24,5.093333,1.191346,24.0,63.01,2.625417,0.614093
Penner Farms - 32-8-13 pump (site 1),2024-05-21,multiple_inverter_issues,364.62,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,132.21,5.50875,1.08779,24.0,152.72,6.363333,1.256541,24.0,79.69,3.320417,0.655669
Penner Farms - 32-8-13 pump (site 1),2024-05-22,multiple_inverter_issues,255.93,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,102.51,4.27125,1.201618,24.0,101.59,4.232917,1.190833,24.0,51.83,2.159583,0.607549
Penner Farms - 32-8-13 pump (site 1),2024-05-23,multiple_inverter_issues,326.67,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,130.05,5.41875,1.194325,24.0,129.66,5.4025,1.190743,24.0,66.96,2.79,0.614933
Penner Farms - 32-8-13 pump (site 1),2024-05-24,multiple_inverter_issues,403.77,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,161.16,6.715,1.197414,24.0,160.41,6.68375,1.191842,24.0,82.2,3.425,0.610744
Penner Farms - 32-8-13 pump (site 1),2024-05-25,multiple_inverter_issues,346.02,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,138.12,5.755,1.197503,24.0,137.09,5.712083,1.188573,24.0,70.81,2.950417,0.613924
Penner Farms - 32-8-13 pump (site 1),2024-05-26,multiple_inverter_issues,343.29,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,136.22,5.675833,1.190422,24.0,135.85,5.660417,1.187189,24.0,71.22,2.9675,0.622389
Penner Farms - 32-8-13 pump (site 1),2024-05-27,multiple_inverter_issues,492.64,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,196.85,8.202083,1.198746,24.0,196.0,8.166667,1.193569,24.0,99.79,4.157917,0.607685
Penner Farms - 32-8-13 pump (site 1),2024-05-28,multiple_inverter_issues,476.14,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,191.13,7.96375,1.204247,24.0,188.38,7.849167,1.18692,24.0,96.63,4.02625,0.608834
Penner Farms - 32-8-13 pump (site 1),2024-05-29,multiple_inverter_issues,471.46,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,188.09,7.837083,1.196857,24.0,187.37,7.807083,1.192275,24.0,96.0,4.0,0.610868
Penner Farms - 32-8-13 pump (site 1),2024-05-30,multiple_inverter_issues,257.69,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,103.06,4.294167,1.199814,24.0,102.5,4.270833,1.193294,24.0,52.13,2.172083,0.606892
Penner Farms - 32-8-13 pump (site 1),2024-05-31,multiple_inverter_issues,390.82,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,155.77,6.490417,1.195717,24.0,154.77,6.44875,1.188041,24.0,80.28,3.345,0.616243
Penner Farms - 32-8-13 pump (site 1),2024-06-01,multiple_inverter_issues,399.88,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,160.15,6.672917,1.201485,24.0,158.97,6.62375,1.192633,24.0,80.76,3.365,0.605882
Penner Farms - 32-8-13 pump (site 1),2024-06-02,multiple_inverter_issues,436.92,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,166.63,6.942917,1.144122,24.0,182.29,7.595417,1.251648,24.0,88.0,3.666667,0.60423
Penner Farms - 32-8-13 pump (site 1),2024-06-03,multiple_inverter_issues,287.65,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,115.06,4.794167,1.2,24.0,113.92,4.746667,1.188111,24.0,58.67,2.444583,0.611889
Penner Farms - 32-8-13 pump (site 1),2024-06-04,multiple_inverter_issues,460.21,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,206.3,8.595833,1.344821,24.0,205.54,8.564167,1.339867,24.0,48.37,2.015417,0.315313
Penner Farms - 32-8-13 pump (site 1),2024-06-05,multiple_inverter_issues,393.8,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,197.07,8.21125,1.501295,24.0,196.73,8.197083,1.498705,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-06,multiple_inverter_issues,392.09,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,196.67,8.194583,1.504782,24.0,195.42,8.1425,1.495218,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-07,multiple_inverter_issues,348.0,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,174.34,7.264167,1.502931,24.0,173.66,7.235833,1.497069,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-08,multiple_inverter_issues,272.63,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,136.85,5.702083,1.505887,24.0,135.78,5.6575,1.494113,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-09,multiple_inverter_issues,394.49,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,198.97,8.290417,1.513118,24.0,195.52,8.146667,1.486882,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-10,multiple_inverter_issues,289.48,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,144.98,6.040833,1.502487,24.0,144.5,6.020833,1.497513,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-11,multiple_inverter_issues,385.8,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,193.64,8.068333,1.505754,24.0,192.16,8.006667,1.494246,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-12,multiple_inverter_issues,412.36,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,199.4,8.308333,1.450674,24.0,198.67,8.277917,1.445363,24.0,14.29,0.595417,0.103963
Penner Farms - 32-8-13 pump (site 1),2024-06-13,multiple_inverter_issues,378.21,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,190.18,7.924167,1.508527,24.0,188.03,7.834583,1.491473,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-14,multiple_inverter_issues,313.81,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,157.46,6.560833,1.505306,24.0,156.35,6.514583,1.494694,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-15,multiple_inverter_issues,229.71,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,115.46,4.810833,1.507901,24.0,114.25,4.760417,1.492099,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-16,multiple_inverter_issues,133.04,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,66.89,2.787083,1.508343,24.0,66.15,2.75625,1.491657,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-17,multiple_inverter_issues,147.03,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,73.78,3.074167,1.505407,24.0,73.25,3.052083,1.494593,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-18,multiple_inverter_issues,137.44,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,68.97,2.87375,1.505457,24.0,68.47,2.852917,1.494543,24.0,0.0,0.0,0.0
Penner Farms - 32-8-13 pump (site 1),2024-06-19,multiple_inverter_issues,340.88,FRONIUS-c3c803c9-49a6-4c83-9884--G005,Symo 24.0-3 480 (3) (115CA1),24.0,170.6,7.108333,1.501408,24.0,170.28,7.095,1.498592,24.0,0.0,0.0,0.0
