site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,omitted_days,Symo  24.0-3 480 (1)__rated_kw,Symo  24.0-3 480 (1)__daily_energy_kwh,Symo  24.0-3 480 (1)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (1)__relative_specific_yield_vs_site_avg,Symo  24.0-3 480 (5)__rated_kw,Symo  24.0-3 480 (5)__daily_energy_kwh,Symo  24.0-3 480 (5)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (5)__relative_specific_yield_vs_site_avg,Symo  24.0-3 480 (6)__rated_kw,Symo  24.0-3 480 (6)__daily_energy_kwh,Symo  24.0-3 480 (6)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (6)__relative_specific_yield_vs_site_avg,Symo  24.0-3 480 (8)__rated_kw,Symo  24.0-3 480 (8)__daily_energy_kwh,Symo  24.0-3 480 (8)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (8)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (7)__rated_kw,Symo 24.0-3 480 (7)__daily_energy_kwh,Symo 24.0-3 480 (7)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (7)__relative_specific_yield_vs_site_avg
Penner Farms - 33-8-13 pump (site 3),2025-01-18,sustained_underperformance,287.86,FRONIUS-a93e4e65-6f50-4a8f-a7e3--002,Symo  24.0-3 480 (6),,24.0,53.39,2.224583,0.927361,24.0,88.21,3.675417,1.532168,24.0,27.46,1.144167,0.476968,24.0,89.59,3.732917,1.556138,24.0,29.21,1.217083,0.507365
Penner Farms - 33-8-13 pump (site 3),2025-01-19,sustained_underperformance,448.51,FRONIUS-a93e4e65-6f50-4a8f-a7e3--002,Symo  24.0-3 480 (6),,24.0,88.38,3.6825,0.985262,24.0,129.16,5.381667,1.439879,24.0,45.7,1.904167,0.509465,24.0,135.36,5.64,1.508996,24.0,49.91,2.079583,0.556398
Penner Farms - 33-8-13 pump (site 3),2025-01-20,sustained_underperformance,443.99,FRONIUS-a93e4e65-6f50-4a8f-a7e3--002,Symo  24.0-3 480 (6),,24.0,89.84,3.743333,1.011734,24.0,122.99,5.124583,1.385054,24.0,49.78,2.074167,0.560598,24.0,126.63,5.27625,1.426046,24.0,54.75,2.28125,0.616568
Penner Farms - 33-8-13 pump (site 3),2025-01-21,Normal,129.4,,,,24.0,25.46,1.060833,0.983771,24.0,26.59,1.107917,1.027434,24.0,25.3,1.054167,0.977589,24.0,26.46,1.1025,1.022411,24.0,25.59,1.06625,0.988794
Penner Farms - 33-8-13 pump (site 3),2025-01-22,Normal,268.18,,,,24.0,53.3,2.220833,0.993736,24.0,47.01,1.95875,0.876464,24.0,50.13,2.08875,0.934633,24.0,63.28,2.636667,1.179805,24.0,54.46,2.269167,1.015363
Penner Farms - 33-8-13 pump (site 3),2025-01-23,Normal,138.11,,,,24.0,28.06,1.169167,1.015857,24.0,27.91,1.162917,1.010426,24.0,26.54,1.105833,0.960828,24.0,28.18,1.174167,1.020201,24.0,27.42,1.1425,0.992687
Penner Farms - 33-8-13 pump (site 3),2025-01-24,Normal,219.11,,,,24.0,43.46,1.810833,0.991739,24.0,43.87,1.827917,1.001095,24.0,42.03,1.75125,0.959107,24.0,44.95,1.872917,1.02574,24.0,44.8,1.866667,1.022318
Penner Farms - 33-8-13 pump (site 3),2025-01-25,Normal,547.6,,,,24.0,99.45,4.14375,0.908053,24.0,114.52,4.771667,1.045654,24.0,108.64,4.526667,0.991965,24.0,114.32,4.763333,1.043828,24.0,110.67,4.61125,1.0105
Penner Farms - 33-8-13 pump (site 3),2025-01-26,Normal,608.57,,,,24.0,77.92,3.246667,0.640189,24.0,135.17,5.632083,1.110554,24.0,128.8,5.366667,1.058218,24.0,135.14,5.630833,1.110308,24.0,131.54,5.480833,1.08073
Penner Farms - 33-8-13 pump (site 3),2025-01-27,Normal,604.3,,,,24.0,119.24,4.968333,0.986596,24.0,123.07,5.127917,1.018286,24.0,118.54,4.939167,0.980804,24.0,123.39,5.14125,1.020933,24.0,120.06,5.0025,0.993381
Penner Farms - 33-8-13 pump (site 3),2025-01-28,Normal,560.58,,,,24.0,111.85,4.660417,0.997627,24.0,113.69,4.737083,1.014039,24.0,109.98,4.5825,0.980948,24.0,113.94,4.7475,1.016269,24.0,111.12,4.63,0.991116
Penner Farms - 33-8-13 pump (site 3),,Omitted,,,,2,,,,,,,,,,,,,,,,,,,,
Penner Farms - 33-8-13 pump (site 3),2025-01-31,Normal,316.22,,,,24.0,63.27,2.63625,1.000411,24.0,63.76,2.656667,1.008159,24.0,62.74,2.614167,0.992031,24.0,63.71,2.654583,1.007368,24.0,62.74,2.614167,0.992031
Penner Farms - 33-8-13 pump (site 3),2025-02-01,Normal,83.33,,,,24.0,16.91,0.704583,1.014641,24.0,18.43,0.767917,1.105844,24.0,14.64,0.61,0.878435,24.0,18.36,0.765,1.101644,24.0,14.99,0.624583,0.899436
Penner Farms - 33-8-13 pump (site 3),2025-02-02,Normal,85.28,,,,24.0,17.53,0.730417,1.027791,24.0,18.05,0.752083,1.058279,24.0,15.45,0.64375,0.90584,24.0,18.5,0.770833,1.084662,24.0,15.75,0.65625,0.923429
Penner Farms - 33-8-13 pump (site 3),2025-02-03,Normal,76.86,,,,24.0,15.71,0.654583,1.021988,24.0,15.78,0.6575,1.026542,24.0,13.76,0.573333,0.895134,24.0,17.58,0.7325,1.143638,24.0,14.03,0.584583,0.912698
Penner Farms - 33-8-13 pump (site 3),2025-02-04,Normal,45.9,,,,24.0,10.01,0.417083,1.090414,24.0,8.63,0.359583,0.940087,24.0,9.41,0.392083,1.025054,24.0,8.53,0.355417,0.929194,24.0,9.32,0.388333,1.015251
Penner Farms - 33-8-13 pump (site 3),2025-02-05,Normal,93.61,,,,24.0,18.33,0.76375,0.979062,24.0,17.79,0.74125,0.950219,24.0,17.22,0.7175,0.919774,24.0,20.16,0.84,1.076808,24.0,20.11,0.837917,1.074137
Penner Farms - 33-8-13 pump (site 3),2025-02-06,Normal,96.39,,,,24.0,19.03,0.792917,0.987136,24.0,17.99,0.749583,0.933188,24.0,17.27,0.719583,0.89584,24.0,21.14,0.880833,1.096587,24.0,20.96,0.873333,1.08725
Penner Farms - 33-8-13 pump (site 3),2025-02-07,sustained_underperformance,156.52,FRONIUS-a93e4e65-6f50-4a8f-a7e3--003,Symo  24.0-3 480 (5),,24.0,20.55,0.85625,0.656466,24.0,17.22,0.7175,0.550089,24.0,29.53,1.230417,0.94333,24.0,39.99,1.66625,1.277473,24.0,49.23,2.05125,1.572642
Penner Farms - 33-8-13 pump (site 3),2025-02-08,sustained_underperformance,242.1,FRONIUS-a93e4e65-6f50-4a8f-a7e3--003,Symo  24.0-3 480 (5),,24.0,40.61,1.692083,0.838703,24.0,23.89,0.995417,0.493391,24.0,56.53,2.355417,1.167493,24.0,53.72,2.238333,1.109459,24.0,67.35,2.80625,1.390954
Penner Farms - 33-8-13 pump (site 3),2025-02-09,sustained_underperformance,185.68,FRONIUS-a93e4e65-6f50-4a8f-a7e3--003,Symo  24.0-3 480 (5),,24.0,34.21,1.425417,0.921209,24.0,21.93,0.91375,0.590532,24.0,39.67,1.652917,1.068236,24.0,41.04,1.71,1.105127,24.0,48.83,2.034583,1.314897
Penner Farms - 33-8-13 pump (site 3),2025-02-10,sustained_underperformance,362.29,FRONIUS-a93e4e65-6f50-4a8f-a7e3--003,Symo  24.0-3 480 (5),,24.0,61.44,2.56,0.847939,24.0,35.73,1.48875,0.493113,24.0,80.72,3.363333,1.114025,24.0,86.14,3.589167,1.188827,24.0,98.26,4.094167,1.356096
Penner Farms - 33-8-13 pump (site 3),2025-02-11,sustained_underperformance,252.87,FRONIUS-a93e4e65-6f50-4a8f-a7e3--003,Symo  24.0-3 480 (5),,24.0,44.95,1.872917,0.888797,24.0,26.44,1.101667,0.522798,24.0,57.96,2.415,1.146043,24.0,55.59,2.31625,1.099181,24.0,67.93,2.830417,1.34318
Penner Farms - 33-8-13 pump (site 3),2025-02-12,sustained_underperformance,405.28,FRONIUS-a93e4e65-6f50-4a8f-a7e3--003,Symo  24.0-3 480 (5),,24.0,73.79,3.074583,0.910358,24.0,38.1,1.5875,0.470045,24.0,94.59,3.94125,1.166971,24.0,88.52,3.688333,1.092084,24.0,110.28,4.595,1.360541
Penner Farms - 33-8-13 pump (site 3),2025-02-13,sustained_underperformance,600.05,FRONIUS-a93e4e65-6f50-4a8f-a7e3--003,Symo  24.0-3 480 (5),,24.0,112.76,4.698333,0.939588,24.0,87.11,3.629583,0.725856,24.0,133.31,5.554583,1.110824,24.0,122.26,5.094167,1.018748,24.0,144.61,6.025417,1.204983
Penner Farms - 33-8-13 pump (site 3),2025-02-14,Normal,124.04,,,,24.0,23.84,0.993333,0.96098,24.0,21.12,0.88,0.851338,24.0,24.12,1.005,0.972267,24.0,27.88,1.161667,1.123831,24.0,27.08,1.128333,1.091583
Penner Farms - 33-8-13 pump (site 3),2025-02-15,Normal,117.31,,,,24.0,24.06,1.0025,1.025488,24.0,21.61,0.900417,0.921064,24.0,24.1,1.004167,1.027193,24.0,22.93,0.955417,0.977325,24.0,24.61,1.025417,1.04893
Penner Farms - 33-8-13 pump (site 3),2025-02-16,Normal,92.64,,,,24.0,19.03,0.792917,1.027094,24.0,16.67,0.694583,0.899719,24.0,19.37,0.807083,1.045445,24.0,17.77,0.740417,0.959089,24.0,19.8,0.825,1.068653
Penner Farms - 33-8-13 pump (site 3),2025-02-17,Normal,162.0,,,,24.0,33.89,1.412083,1.045988,24.0,29.28,1.22,0.903704,24.0,30.75,1.28125,0.949074,24.0,33.21,1.38375,1.025,24.0,34.87,1.452917,1.076235
Penner Farms - 33-8-13 pump (site 3),2025-02-18,Normal,214.43,,,,24.0,40.36,1.681667,0.9411,24.0,36.45,1.51875,0.849928,24.0,49.97,2.082083,1.165182,24.0,48.31,2.012917,1.126475,24.0,39.34,1.639167,0.917316
Penner Farms - 33-8-13 pump (site 3),2025-02-19,Normal,221.09,,,,24.0,41.51,1.729583,0.938758,24.0,36.94,1.539167,0.835406,24.0,52.93,2.205417,1.197024,24.0,49.86,2.0775,1.127595,24.0,39.85,1.660417,0.901217
Penner Farms - 33-8-13 pump (site 3),2025-02-20,Normal,533.17,,,,24.0,101.74,4.239167,0.954105,24.0,99.96,4.165,0.937412,24.0,116.04,4.835,1.088208,24.0,109.24,4.551667,1.024439,24.0,106.19,4.424583,0.995836
Penner Farms - 33-8-13 pump (site 3),2025-02-21,Normal,522.31,,,,24.0,104.34,4.3475,0.998832,24.0,104.47,4.352917,1.000077,24.0,104.08,4.336667,0.996343,24.0,105.21,4.38375,1.00716,24.0,104.21,4.342083,0.997588
Penner Farms - 33-8-13 pump (site 3),2025-02-22,Normal,693.62,,,,24.0,130.92,5.455,0.943744,24.0,140.57,5.857083,1.013307,24.0,140.18,5.840833,1.010496,24.0,141.27,5.88625,1.018353,24.0,140.68,5.861667,1.0141
Penner Farms - 33-8-13 pump (site 3),2025-02-23,Normal,629.16,,,,24.0,122.71,5.112917,0.975189,24.0,126.11,5.254583,1.002209,24.0,126.43,5.267917,1.004752,24.0,126.87,5.28625,1.008249,24.0,127.04,5.293333,1.0096
Penner Farms - 33-8-13 pump (site 3),,Omitted,,,,16,,,,,,,,,,,,,,,,,,,,
Penner Farms - 33-8-13 pump (site 3),2025-03-12,Normal,670.99,,,,24.0,132.47,5.519583,0.987124,24.0,134.67,5.61125,1.003517,24.0,134.41,5.600417,1.00158,24.0,134.77,5.615417,1.004262,24.0,134.67,5.61125,1.003517
Penner Farms - 33-8-13 pump (site 3),2025-03-13,Normal,290.6,,,,24.0,58.22,2.425833,1.001721,24.0,58.41,2.43375,1.00499,24.0,57.63,2.40125,0.991569,24.0,58.47,2.43625,1.006022,24.0,57.87,2.41125,0.995699
Penner Farms - 33-8-13 pump (site 3),2025-03-14,Normal,704.71,,,,24.0,135.07,5.627917,0.958337,24.0,142.63,5.942917,1.011977,24.0,141.77,5.907083,1.005875,24.0,142.98,5.9575,1.01446,24.0,142.26,5.9275,1.009351
Penner Farms - 33-8-13 pump (site 3),2025-03-15,Normal,189.28,,,,24.0,37.77,1.57375,0.997728,24.0,37.91,1.579583,1.001426,24.0,37.68,1.57,0.995351,24.0,37.3,1.554167,0.985313,24.0,38.62,1.609167,1.020182
Penner Farms - 33-8-13 pump (site 3),2025-03-16,Normal,144.02,,,,24.0,38.44,1.601667,1.334537,24.0,32.44,1.351667,1.126232,24.0,23.13,0.96375,0.803013,24.0,30.05,1.252083,1.043258,24.0,19.96,0.831667,0.692959
Penner Farms - 33-8-13 pump (site 3),2025-03-17,Normal,698.22,,,,24.0,110.18,4.590833,0.789006,24.0,147.68,6.153333,1.057546,24.0,144.01,6.000417,1.031265,24.0,149.62,6.234167,1.071439,24.0,146.73,6.11375,1.050743
Penner Farms - 33-8-13 pump (site 3),2025-03-18,Normal,229.38,,,,24.0,42.98,1.790833,0.936873,24.0,46.96,1.956667,1.023629,24.0,46.22,1.925833,1.007498,24.0,46.94,1.955833,1.023193,24.0,46.28,1.928333,1.008806
Penner Farms - 33-8-13 pump (site 3),2025-03-19,Normal,859.0,,,,24.0,151.77,6.32375,0.883411,24.0,176.65,7.360417,1.028231,24.0,176.37,7.34875,1.026601,24.0,177.21,7.38375,1.03149,24.0,177.0,7.375,1.030268
Penner Farms - 33-8-13 pump (site 3),2025-03-20,Normal,457.34,,,,24.0,91.64,3.818333,1.00188,24.0,91.66,3.819167,1.002099,24.0,91.05,3.79375,0.99543,24.0,91.75,3.822917,1.003083,24.0,91.24,3.801667,0.997507
Penner Farms - 33-8-13 pump (site 3),2025-03-21,Normal,287.96,,,,24.0,55.99,2.332917,0.972184,24.0,58.07,2.419583,1.0083,24.0,57.68,2.403333,1.001528,24.0,58.22,2.425833,1.010904,24.0,58.0,2.416667,1.007084
Penner Farms - 33-8-13 pump (site 3),2025-03-22,site_missing_data,287.96,FRONIUS-a93e4e65-6f50-4a8f-a7e3--004,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-03-23,site_missing_data,372.65,FRONIUS-a93e4e65-6f50-4a8f-a7e3--004,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-03-24,site_missing_data,457.34,FRONIUS-a93e4e65-6f50-4a8f-a7e3--004,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-03-25,site_missing_data,372.65,FRONIUS-a93e4e65-6f50-4a8f-a7e3--004,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-03-26,site_missing_data,457.34,FRONIUS-a93e4e65-6f50-4a8f-a7e3--004,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-03-27,site_missing_data,372.65,FRONIUS-a93e4e65-6f50-4a8f-a7e3--004,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-03-28,site_missing_data,287.96,FRONIUS-a93e4e65-6f50-4a8f-a7e3--004,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-03-29,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-03-30,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-03-31,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-04-01,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-04-02,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-04-03,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-04-04,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-04-05,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-04-06,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-04-07,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),,Omitted,,,,244,,,,,,,,,,,,,,,,,,,,
Penner Farms - 33-8-13 pump (site 3),2025-12-08,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-12-09,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-12-10,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-12-11,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-12-12,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-12-13,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-12-14,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-12-15,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-12-16,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-12-17,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-12-18,site_missing_data,240.0,FRONIUS-a93e4e65-6f50-4a8f-a7e3--005,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-12-19,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),,Omitted,,,,1,,,,,,,,,,,,,,,,,,,,
Penner Farms - 33-8-13 pump (site 3),2025-12-21,site_missing_data,144.4,FRONIUS-a93e4e65-6f50-4a8f-a7e3--006,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-12-22,site_missing_data,184.405,FRONIUS-a93e4e65-6f50-4a8f-a7e3--006,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-12-23,site_missing_data,224.41,FRONIUS-a93e4e65-6f50-4a8f-a7e3--006,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - 33-8-13 pump (site 3),2025-12-24,Normal,41.11,,,,24.0,8.22,0.3425,0.999757,24.0,8.29,0.345417,1.00827,24.0,8.2,0.341667,0.997324,24.0,8.24,0.343333,1.002189,24.0,8.16,0.34,0.992459
Penner Farms - 33-8-13 pump (site 3),2025-12-25,Normal,438.89,,,,24.0,86.93,3.622083,0.990339,24.0,89.62,3.734167,1.020985,24.0,84.39,3.51625,0.961403,24.0,92.01,3.83375,1.048213,24.0,85.94,3.580833,0.979061
Penner Farms - 33-8-13 pump (site 3),2025-12-26,Normal,37.02,,,,24.0,7.39,0.307917,0.998109,24.0,7.42,0.309167,1.002161,24.0,7.39,0.307917,0.998109,24.0,7.45,0.310417,1.006213,24.0,7.37,0.307083,0.995408
Penner Farms - 33-8-13 pump (site 3),2025-12-27,Normal,144.4,,,,24.0,29.49,1.22875,1.021122,24.0,34.34,1.430833,1.189058,24.0,26.15,1.089583,0.905471,24.0,34.48,1.436667,1.193906,24.0,19.94,0.830833,0.690443
