site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,Symo 24.0-3 480 (1) (636559)__rated_kw,Symo 24.0-3 480 (1) (636559)__daily_energy_kwh,Symo 24.0-3 480 (1) (636559)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (1) (636559)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (2) (636562)__rated_kw,Symo 24.0-3 480 (2) (636562)__daily_energy_kwh,Symo 24.0-3 480 (2) (636562)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (2) (636562)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (3) (636570)__rated_kw,Symo 24.0-3 480 (3) (636570)__daily_energy_kwh,Symo 24.0-3 480 (3) (636570)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (3) (636570)__relative_specific_yield_vs_site_avg
Penner Farms - SE 27-8-13 (site 2),,Marker - 151 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - SE 27-8-13 (site 2),2023-12-03,Normal,219.18,,,24.0,70.04,2.918333,0.958664,24.0,75.31,3.137917,1.030797,24.0,73.83,3.07625,1.010539
Penner Farms - SE 27-8-13 (site 2),2023-12-04,Normal,190.15,,,24.0,61.33,2.555417,0.967605,24.0,65.03,2.709583,1.025979,24.0,63.79,2.657917,1.006416
Penner Farms - SE 27-8-13 (site 2),2023-12-05,Normal,118.4,,,24.0,39.0,1.625,0.988176,24.0,39.96,1.665,1.0125,24.0,39.44,1.643333,0.999324
Penner Farms - SE 27-8-13 (site 2),2023-12-06,Normal,160.13,,,24.0,52.47,2.18625,0.983014,24.0,55.14,2.2975,1.033036,24.0,52.52,2.188333,0.983951
Penner Farms - SE 27-8-13 (site 2),2023-12-07,Normal,11.93,,,24.0,3.96,0.165,0.995809,24.0,3.99,0.16625,1.003353,24.0,3.98,0.165833,1.000838
Penner Farms - SE 27-8-13 (site 2),2023-12-08,site_missing_data,175.14,FRONIUS-d95b5e9d-f2d5-4950-85a9--G005,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2023-12-09,site_missing_data,175.14,FRONIUS-d95b5e9d-f2d5-4950-85a9--G005,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2023-12-10,site_missing_data,200.775,FRONIUS-d95b5e9d-f2d5-4950-85a9--G005,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2023-12-11,Normal,58.43,,,24.0,19.1,0.795833,0.980661,24.0,19.66,0.819167,1.009413,24.0,19.67,0.819583,1.009926
Penner Farms - SE 27-8-13 (site 2),2023-12-12,Normal,338.17,,,24.0,107.6,4.483333,0.954549,24.0,116.89,4.870417,1.036964,24.0,113.68,4.736667,1.008487
Penner Farms - SE 27-8-13 (site 2),2023-12-13,Normal,349.7,,,24.0,111.15,4.63125,0.953532,24.0,120.97,5.040417,1.037775,24.0,117.58,4.899167,1.008693
Penner Farms - SE 27-8-13 (site 2),2023-12-14,Normal,84.88,,,24.0,26.39,1.099583,0.932729,24.0,29.38,1.224167,1.038407,24.0,29.11,1.212917,1.028864
Penner Farms - SE 27-8-13 (site 2),2023-12-15,Normal,285.91,,,24.0,91.5,3.8125,0.960092,24.0,98.42,4.100833,1.032703,24.0,95.99,3.999583,1.007205
Penner Farms - SE 27-8-13 (site 2),,Marker - 148 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - SE 27-8-13 (site 2),2024-05-12,Normal,566.63,,,24.0,187.35,7.80625,0.991917,24.0,189.46,7.894167,1.003088,24.0,189.82,7.909167,1.004994
Penner Farms - SE 27-8-13 (site 2),2024-05-13,Normal,427.99,,,24.0,143.2,5.966667,1.003762,24.0,145.44,6.06,1.019463,24.0,139.35,5.80625,0.976775
Penner Farms - SE 27-8-13 (site 2),2024-05-14,Normal,479.89,,,24.0,160.92,6.705,1.005981,24.0,162.59,6.774583,1.01642,24.0,156.38,6.515833,0.977599
Penner Farms - SE 27-8-13 (site 2),2024-05-15,Normal,544.47,,,24.0,180.19,7.507917,0.992837,24.0,182.05,7.585417,1.003086,24.0,182.23,7.592917,1.004077
Penner Farms - SE 27-8-13 (site 2),2024-05-16,Normal,455.25,,,24.0,157.2,6.55,1.035914,24.0,158.72,6.613333,1.045931,24.0,139.33,5.805417,0.918155
Penner Farms - SE 27-8-13 (site 2),2024-05-17,site_missing_data,467.57,FRONIUS-d95b5e9d-f2d5-4950-85a9--G006,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2024-05-18,Normal,483.58,,,24.0,167.65,6.985417,1.040055,24.0,168.69,7.02875,1.046507,24.0,147.24,6.135,0.913437
Penner Farms - SE 27-8-13 (site 2),2024-05-19,Normal,411.66,,,24.0,140.35,5.847917,1.02281,24.0,141.18,5.8825,1.028859,24.0,130.13,5.422083,0.948331
Penner Farms - SE 27-8-13 (site 2),2024-05-20,Normal,389.39,,,24.0,129.62,5.400833,0.998639,24.0,130.85,5.452083,1.008115,24.0,128.92,5.371667,0.993246
Penner Farms - SE 27-8-13 (site 2),2024-05-21,Normal,454.65,,,24.0,154.79,6.449583,1.021379,24.0,155.94,6.4975,1.028967,24.0,143.92,5.996667,0.949654
Penner Farms - SE 27-8-13 (site 2),2024-05-22,Normal,333.26,,,24.0,109.99,4.582917,0.990128,24.0,111.27,4.63625,1.00165,24.0,112.0,4.666667,1.008222
Penner Farms - SE 27-8-13 (site 2),,Marker - 221 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - SE 27-8-13 (site 2),2024-12-30,Normal,66.32,,,24.0,21.3,0.8875,0.96351,24.0,22.55,0.939583,1.020054,24.0,22.47,0.93625,1.016435
Penner Farms - SE 27-8-13 (site 2),2024-12-31,Normal,18.06,,,24.0,5.97,0.24875,0.991694,24.0,6.02,0.250833,1.0,24.0,6.07,0.252917,1.008306
Penner Farms - SE 27-8-13 (site 2),2025-01-01,Normal,21.21,,,24.0,6.8,0.283333,0.96181,24.0,7.15,0.297917,1.011315,24.0,7.26,0.3025,1.026874
Penner Farms - SE 27-8-13 (site 2),2025-01-02,Normal,20.82,,,24.0,6.71,0.279583,0.966859,24.0,7.01,0.292083,1.010086,24.0,7.1,0.295833,1.023055
Penner Farms - SE 27-8-13 (site 2),2025-01-03,Normal,22.39,,,24.0,6.51,0.27125,0.872264,24.0,7.89,0.32875,1.057168,24.0,7.99,0.332917,1.070567
Penner Farms - SE 27-8-13 (site 2),2025-01-04,sustained_underperformance,104.04,FRONIUS-d95b5e9d-f2d5-4950-85a9--G007,Symo 24.0-3 480 (1) (636559),24.0,18.5,0.770833,0.533449,24.0,43.06,1.794167,1.241638,24.0,42.48,1.77,1.224913
Penner Farms - SE 27-8-13 (site 2),2025-01-05,sustained_underperformance,182.96,FRONIUS-d95b5e9d-f2d5-4950-85a9--G007,Symo 24.0-3 480 (1) (636559),24.0,34.81,1.450417,0.57078,24.0,74.75,3.114583,1.225678,24.0,73.4,3.058333,1.203542
Penner Farms - SE 27-8-13 (site 2),2025-01-06,sustained_underperformance,93.34,FRONIUS-d95b5e9d-f2d5-4950-85a9--G007,Symo 24.0-3 480 (1) (636559),24.0,19.27,0.802917,0.619349,24.0,37.19,1.549583,1.195307,24.0,36.88,1.536667,1.185344
Penner Farms - SE 27-8-13 (site 2),2025-01-07,Normal,352.8,,,24.0,95.65,3.985417,0.81335,24.0,130.54,5.439167,1.110034,24.0,126.61,5.275417,1.076616
Penner Farms - SE 27-8-13 (site 2),2025-01-08,Normal,88.11,,,24.0,28.82,1.200833,0.981273,24.0,29.76,1.24,1.013279,24.0,29.53,1.230417,1.005448
Penner Farms - SE 27-8-13 (site 2),2025-01-09,Normal,363.79,,,24.0,117.36,4.89,0.967811,24.0,124.67,5.194583,1.028093,24.0,121.76,5.073333,1.004096
Penner Farms - SE 27-8-13 (site 2),2025-01-10,Normal,74.83,,,24.0,24.58,1.024167,0.985434,24.0,25.16,1.048333,1.008686,24.0,25.09,1.045417,1.00588
Penner Farms - SE 27-8-13 (site 2),2025-01-11,Normal,46.53,,,24.0,15.31,0.637917,0.987105,24.0,15.55,0.647917,1.002579,24.0,15.67,0.652917,1.010316
Penner Farms - SE 27-8-13 (site 2),,Marker - 24 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - SE 27-8-13 (site 2),2025-02-05,Normal,67.97,,,24.0,26.04,1.085,1.149331,24.0,21.98,0.915833,0.970134,24.0,19.95,0.83125,0.880536
Penner Farms - SE 27-8-13 (site 2),2025-02-06,Normal,75.18,,,24.0,30.45,1.26875,1.215084,24.0,23.29,0.970417,0.92937,24.0,21.44,0.893333,0.855547
Penner Farms - SE 27-8-13 (site 2),2025-02-07,Normal,169.44,,,24.0,75.49,3.145417,1.336579,24.0,51.57,2.14875,0.913067,24.0,42.38,1.765833,0.750354
Penner Farms - SE 27-8-13 (site 2),2025-02-08,Normal,204.9,,,24.0,82.5,3.4375,1.207906,24.0,66.49,2.770417,0.973499,24.0,55.91,2.329583,0.818594
Penner Farms - SE 27-8-13 (site 2),2025-02-09,Normal,162.12,,,24.0,66.12,2.755,1.223538,24.0,51.37,2.140417,0.950592,24.0,44.63,1.859583,0.82587
Penner Farms - SE 27-8-13 (site 2),2025-02-10,sustained_underperformance,318.18,FRONIUS-d95b5e9d-f2d5-4950-85a9--G008,Symo 24.0-3 480 (3) (636570),24.0,136.07,5.669583,1.282953,24.0,102.41,4.267083,0.965586,24.0,79.7,3.320833,0.751461
Penner Farms - SE 27-8-13 (site 2),2025-02-11,sustained_underperformance,203.86,FRONIUS-d95b5e9d-f2d5-4950-85a9--G008,Symo 24.0-3 480 (3) (636570),24.0,83.7,3.4875,1.231728,24.0,65.99,2.749583,0.971108,24.0,54.17,2.257083,0.797165
Penner Farms - SE 27-8-13 (site 2),2025-02-12,sustained_underperformance,341.38,FRONIUS-d95b5e9d-f2d5-4950-85a9--G008,Symo 24.0-3 480 (3) (636570),24.0,141.11,5.879583,1.240055,24.0,112.54,4.689167,0.988986,24.0,87.73,3.655417,0.770959
Penner Farms - SE 27-8-13 (site 2),2025-02-13,Normal,425.55,,,24.0,157.01,6.542083,1.106873,24.0,149.56,6.231667,1.054353,24.0,118.98,4.9575,0.838773
Penner Farms - SE 27-8-13 (site 2),2025-02-14,Normal,94.86,,,24.0,34.55,1.439583,1.092663,24.0,32.42,1.350833,1.0253,24.0,27.89,1.162083,0.882037
Penner Farms - SE 27-8-13 (site 2),2025-02-15,Normal,84.24,,,24.0,28.5,1.1875,1.014957,24.0,28.36,1.181667,1.009972,24.0,27.38,1.140833,0.975071
Penner Farms - SE 27-8-13 (site 2),2025-02-16,Normal,67.43,,,24.0,22.69,0.945417,1.009491,24.0,22.65,0.94375,1.007712,24.0,22.09,0.920417,0.982797
Penner Farms - SE 27-8-13 (site 2),2025-02-17,Normal,115.22,,,24.0,39.8,1.658333,1.036278,24.0,38.79,1.61625,1.009981,24.0,36.63,1.52625,0.953741
Penner Farms - SE 27-8-13 (site 2),,Marker - 49 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - SE 27-8-13 (site 2),2025-04-08,Normal,493.55,,,24.0,164.42,6.850833,0.999412,24.0,164.79,6.86625,1.001661,24.0,164.34,6.8475,0.998926
Penner Farms - SE 27-8-13 (site 2),2025-04-09,Normal,453.54,,,24.0,150.77,6.282083,0.997288,24.0,151.5,6.3125,1.002117,24.0,151.27,6.302917,1.000595
Penner Farms - SE 27-8-13 (site 2),2025-04-10,Normal,512.29,,,24.0,170.83,7.117917,1.00039,24.0,171.87,7.16125,1.006481,24.0,169.59,7.06625,0.993129
Penner Farms - SE 27-8-13 (site 2),2025-04-11,Normal,543.82,,,24.0,181.08,7.545,0.998933,24.0,181.78,7.574167,1.002795,24.0,180.96,7.54,0.998271
Penner Farms - SE 27-8-13 (site 2),2025-04-12,Normal,536.39,,,24.0,178.49,7.437083,0.998285,24.0,178.98,7.4575,1.001025,24.0,178.92,7.455,1.00069
Penner Farms - SE 27-8-13 (site 2),2025-04-13,site_missing_data,493.55,FRONIUS-d95b5e9d-f2d5-4950-85a9--G009,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-04-14,site_missing_data,453.54,FRONIUS-d95b5e9d-f2d5-4950-85a9--G009,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-04-15,Normal,588.09,,,24.0,195.86,8.160833,0.999133,24.0,196.2,8.175,1.000867,24.0,196.03,8.167917,1.0
Penner Farms - SE 27-8-13 (site 2),2025-04-16,Normal,193.32,,,24.0,64.11,2.67125,0.994879,24.0,64.63,2.692917,1.002948,24.0,64.58,2.690833,1.002173
Penner Farms - SE 27-8-13 (site 2),2025-04-17,Normal,421.44,,,24.0,139.8,5.825,0.995159,24.0,140.85,5.86875,1.002634,24.0,140.79,5.86625,1.002207
Penner Farms - SE 27-8-13 (site 2),2025-04-18,Normal,622.61,,,24.0,207.17,8.632083,0.998233,24.0,207.81,8.65875,1.001317,24.0,207.63,8.65125,1.00045
Penner Farms - SE 27-8-13 (site 2),2025-04-19,Normal,333.52,,,24.0,110.51,4.604583,0.994033,24.0,111.29,4.637083,1.001049,24.0,111.72,4.655,1.004917
Penner Farms - SE 27-8-13 (site 2),,Marker - 56 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - SE 27-8-13 (site 2),2025-06-15,Normal,605.3,,,24.0,200.55,8.35625,0.99397,24.0,201.84,8.41,1.000363,24.0,202.91,8.454583,1.005667
Penner Farms - SE 27-8-13 (site 2),2025-06-16,Normal,638.32,,,24.0,211.34,8.805833,0.993264,24.0,212.92,8.871667,1.000689,24.0,214.06,8.919167,1.006047
Penner Farms - SE 27-8-13 (site 2),2025-06-17,Normal,617.93,,,24.0,204.58,8.524167,0.993219,24.0,206.32,8.596667,1.001667,24.0,207.03,8.62625,1.005114
Penner Farms - SE 27-8-13 (site 2),2025-06-18,Normal,595.64,,,24.0,197.54,8.230833,0.99493,24.0,198.5,8.270833,0.999765,24.0,199.6,8.316667,1.005305
Penner Farms - SE 27-8-13 (site 2),2025-06-19,Normal,637.83,,,24.0,211.56,8.815,0.995061,24.0,212.5,8.854167,0.999483,24.0,213.77,8.907083,1.005456
Penner Farms - SE 27-8-13 (site 2),2025-06-20,site_missing_data,602.98,FRONIUS-d95b5e9d-f2d5-4950-85a9--G010,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2025-06-21,Normal,10.2,,,24.0,3.36,0.14,0.988235,24.0,3.41,0.142083,1.002941,24.0,3.43,0.142917,1.008824
Penner Farms - SE 27-8-13 (site 2),2025-06-22,Normal,236.79,,,24.0,78.13,3.255417,0.989864,24.0,79.32,3.305,1.004941,24.0,79.34,3.305833,1.005194
Penner Farms - SE 27-8-13 (site 2),2025-06-23,Normal,585.52,,,24.0,194.26,8.094167,0.99532,24.0,195.31,8.137917,1.0007,24.0,195.95,8.164583,1.003979
Penner Farms - SE 27-8-13 (site 2),2025-06-24,Normal,618.24,,,24.0,206.19,8.59125,1.000534,24.0,208.52,8.688333,1.01184,24.0,203.53,8.480417,0.987626
Penner Farms - SE 27-8-13 (site 2),2025-06-25,Normal,622.99,,,24.0,205.92,8.58,0.991605,24.0,208.08,8.67,1.002006,24.0,208.99,8.707917,1.006389
Penner Farms - SE 27-8-13 (site 2),,Marker - 12 additional day(s) without incident,,,,,,,,,,,,,,,
